C011BB $A3 $02         LDA $02,S [000365] = $00        A:0001 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:22  H:133
C011BD $8F $02 $42 $00 STA $004202                     A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:150
C011C1 $EB             XBA                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:157
C011C2 $8F $03 $42 $00 STA $004203                     A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:162
C011C6 $EA             NOP                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:169
C011C7 $EA             NOP                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:172
C011C8 $EA             NOP                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:175
C011C9 $EA             NOP                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:178
C011CA $AF $16 $42 $00 LDA $004216                     A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:181
C011CE $18             CLC                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:189
C011CF $75 $02         ADC $02,X [000042] = $00        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:192
C011D1 $95 $02         STA $02,X [000042] = $00        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:198
C011D3 $AF $17 $42 $00 LDA $004217                     A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:205
C011D7 $75 $03         ADC $03,X [000043] = $00        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:212
C011D9 $95 $03         STA $03,X [000043] = $00        A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:219
C011DB $68             PLA                             A:0000 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:22  H:225
C011DC $68             PLA                             A:0000 X:0040 Y:0002 S:0364 D:0000 DB:C6 P:36 V:22  H:232
C011DD $EB             XBA                             A:0000 X:0040 Y:0002 S:0365 D:0000 DB:C6 P:36 V:22  H:238
C011DE $68             PLA                             A:0000 X:0040 Y:0002 S:0365 D:0000 DB:C6 P:36 V:22  H:243
