C18B54 $10 $13         BPL $C18B69                     A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:98 
C18B69 $AD $EA $E3     LDA $E3EA [7FE3EA] = $0000      A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:103
C18B6C $10 $13         BPL $C18B81                     A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:111
C18B81 $AD $EC $E3     LDA $E3EC [7FE3EC] = $0000      A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:116
C18B84 $10 $13         BPL $C18B99                     A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:124
C18B99 $AD $EE $E3     LDA $E3EE [7FE3EE] = $0000      A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:129
C18B9C $10 $13         BPL $C18BB1                     A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:147
C18BB1 $AD $F0 $E3     LDA $E3F0 [7FE3F0] = $0000      A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:152
C18BB4 $10 $13         BPL $C18BC9                     A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:160
C18BC9 $60             RTS                             A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:165
C16F02 $20 $9F $A6     JSR $A69F [C1A69F] = $18A6      A:0000 X:0004 Y:0214 S:03F7 D:00C0 DB:7F P:nvmxdIZC V:65  H:175
C1A69F $A6 $18         LDX $18 [0000D8] = $0004        A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIZC V:65  H:185
C1A6A1 $BD $4E $E3     LDA $E34E,X [7FE352] = $0001    A:0000 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:65  H:193
C1A6A4 $F0 $3C         BEQ $C1A6E2                     A:0001 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:65  H:203
C1A6A6 $BD $28 $E3     LDA $E328,X [7FE32C] = $FF50    A:0001 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzC V:65  H:206
C1A6A9 $4A             LSR                             A:FF50 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzC V:65  H:216
C1A6AA $4A             LSR                             A:7FA8 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:219
C1A6AB $4A             LSR                             A:3FD4 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:222
C1A6AC $29 $1F $00     AND #$001F                      A:1FEA X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:225
C1A6AF $0A             ASL                             A:000A X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:230
C1A6B0 $9D $A4 $E5     STA $E5A4,X [7FE5A8] = $0000    A:0014 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:233
C1A6B3 $49 $3E $00     EOR #$003E                      A:0014 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:243
C1A6B6 $1A             INC                             A:002A X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:247
C1A6B7 $1A             INC                             A:002B X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:250
C1A6B8 $9D $8C $E5     STA $E58C,X [7FE590] = $0000    A:002C X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:253
C1A6BB $BF $0E $6F $C1 LDA $C16F0E,X [C16F12] = $E252  A:002C X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:nvmxdIzc V:65  H:263
C1A6BF $9D $94 $E5     STA $E594,X [7FE598] = $E252    A:E252 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:65  H:272
C1A6C2 $18             CLC                             A:E252 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:65  H:288
C1A6C3 $7D $8C $E5     ADC $E58C,X [7FE590] = $002C    A:E252 X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:65  H:291
C1A6C6 $9D $AC $E5     STA $E5AC,X [7FE5B0] = $E27E    A:E27E X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:65  H:301
C1A6C9 $BD $28 $E3     LDA $E328,X [7FE32C] = $FF50    A:E27E X:0004 Y:0214 S:03F5 D:00C0 DB:7F P:NvmxdIzc V:65  H:311
