C1A6BB $BF $0E $6F $C1 LDA $C16F0E,X [C16F12] = $E252  A:0020 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:64  H:79 
C1A6BF $9D $94 $E5     STA $E594,X [7FE598] = $E252    A:E252 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:88 
C1A6C2 $18             CLC                             A:E252 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:98 
C1A6C3 $7D $8C $E5     ADC $E58C,X [7FE590] = $0020    A:E252 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:101
C1A6C6 $9D $AC $E5     STA $E5AC,X [7FE5B0] = $E272    A:E272 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:111
C1A6C9 $BD $28 $E3     LDA $E328,X [7FE32C] = $FF80    A:E272 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:121
C1A6CC $20 $E3 $A6     JSR $A6E3 [C1A6E3] = $F829      A:FF80 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:64  H:131
C1A6E3 $29 $F8 $00     AND #$00F8                      A:FF80 X:0004 Y:020C S:03F3 D:00C0 DB:7F P:NvmxdIzc V:64  H:151
C1A6E6 $0A             ASL                             A:0080 X:0004 Y:020C S:03F3 D:00C0 DB:7F P:nvmxdIzc V:64  H:155
C1A6E7 $0A             ASL                             A:0100 X:0004 Y:020C S:03F3 D:00C0 DB:7F P:nvmxdIzc V:64  H:158
C1A6E8 $85 $0E         STA $0E [0000CE] = $001C        A:0200 X:0004 Y:020C S:03F3 D:00C0 DB:7F P:nvmxdIzc V:64  H:161
C1A6EA $BD $58 $E3     LDA $E358,X [7FE35C] = $FED9    A:0200 X:0004 Y:020C S:03F3 D:00C0 DB:7F P:nvmxdIzc V:64  H:170
