01916F $20 $0B $FE     JSR $FE0B [01FE0B] = $8B        A:CDC8 X:0D20 Y:CDC8 S:1FCB D:0000 DB:01 P:nvMxdiZc V:198 H:304
01E925 $85 $80         STA $80 [002180] = $00          A:CD00 X:0002 Y:9A37 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:94 
01E927 $64 $80         STZ $80 [002180] = $00          A:CD00 X:0002 Y:9A37 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:100
01E929 $CA             DEX                             A:CD00 X:0002 Y:9A37 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:105
01E92A $D0 $F5         BNE $01E921                     A:CD00 X:0001 Y:9A37 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:109
01E921 $B9 $00 $00     LDA $0000,Y [049A37] = $30      A:CD00 X:0001 Y:9A37 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:114
01E924 $C8             INY                             A:CD30 X:0001 Y:9A37 S:1FC2 D:2100 DB:04 P:nvMxdizc V:201 H:124
01E925 $85 $80         STA $80 [002180] = $00          A:CD30 X:0001 Y:9A38 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:127
01E927 $64 $80         STZ $80 [002180] = $00          A:CD30 X:0001 Y:9A38 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:133
01E929 $CA             DEX                             A:CD30 X:0001 Y:9A38 S:1FC2 D:2100 DB:04 P:NvMxdizc V:201 H:148
01E92A $D0 $F5         BNE $01E921                     A:CD30 X:0000 Y:9A38 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:201 H:152
01E92C $FA             PLX                             A:CD30 X:0000 Y:9A38 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:201 H:156
01E92D $2B             PLD                             A:CD30 X:7F40 Y:9A38 S:1FC4 D:2100 DB:04 P:nvMxdizc V:201 H:165
01E92E $60             RTS                             A:CD30 X:7F40 Y:9A38 S:1FC6 D:0000 DB:04 P:nvMxdiZc V:201 H:174
01FE1F $C0 $A0 $9B     CPY #$9BA0                      A:CD30 X:7F40 Y:9A38 S:1FC8 D:0000 DB:04 P:nvMxdiZc V:201 H:184
01FE22 $D0 $F8         BNE $01FE1C                     A:CD30 X:7F40 Y:9A38 S:1FC8 D:0000 DB:04 P:NvMxdizc V:201 H:190
01FE1C $20 $0C $E9     JSR $E90C [01E90C] = $0B        A:CD30 X:7F40 Y:9A38 S:1FC8 D:0000 DB:04 P:NvMxdizc V:201 H:196
01E90C $0B             PHD                             A:CD30 X:7F40 Y:9A38 S:1FC6 D:0000 DB:04 P:NvMxdizc V:201 H:207
01E90D $DA             PHX                             A:CD30 X:7F40 Y:9A38 S:1FC4 D:0000 DB:04 P:NvMxdizc V:201 H:215
01E90E $F4 $00 $21     PEA #$2100                      A:CD30 X:7F40 Y:9A38 S:1FC2 D:0000 DB:04 P:NvMxdizc V:201 H:222
01E911 $2B             PLD                             A:CD30 X:7F40 Y:9A38 S:1FC0 D:0000 DB:04 P:NvMxdizc V:201 H:232
